"orgName","type","invoiceText","startOn","cost","currency","qty"
"Zipevent Co., Ltd.","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Tracking Standard ","2018-05-25","500.0","THB","1"
"Trial account - O shopping","REACTIVATE","Wallboard Wallboard ","2018-06-17","1966.129","THB","1"
"Direct Asia","REACTIVATE","Virtual Line Business ","2018-04-19","709.6774","THB","1"
"DeeMoney","EXTEND","BizPhone Standard ","2018-04-24","2500.0","THB","1"
"Natural Health Food","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Virtual Line Business ","2018-05-25","500.0","THB","1"
"Chameleon Strategies Co,.Ltd","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Call Tracking Standard ","2018-05-01","300.0","THB","1"
"Khun Santosh","EXTEND","Call Recording Standard ","2018-05-17","200.0","THB","1"
"Dmatrix.Co,Ltd.","EXTEND","BizPhone Standard ","2018-04-30","300.0","THB","1"
"Trial account - Rockworth","REACTIVATE","BizPhone Standard ","2018-06-03","1161.2903","THB","1"
"Nice Loop","EXTEND","Call Recording Standard ","2018-04-17","200.0","THB","1"
"Lanna Softworks Co.,Ltd","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"Chameleon Strategies Co,.Ltd","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Crystal J. Commercial Auto Car","EXTEND","Virtual Line Professional ","2018-06-07","250.0","THB","1"
"Built Land","REACTIVATE","Virtual Line Business ","2018-04-21","677.4194","THB","1"
"Trial account - Rockworth","REACTIVATE","Call Recording Standard ","2018-06-03","967.7419","THB","1"
"Zipevent Co., Ltd.","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"ISS Facility Services","EXTEND","Call Recording Standard ","2018-06-03","500.0","THB","1"
"Trial account - Rockworth","REACTIVATE","Wallboard Wallboard ","2018-06-03","3532.2581","THB","1"
"Scott Berry & Associate Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"CB Lockers","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Recording Standard ","2018-04-25","300.0","THB","1"
"Nice Loop","EXTEND","Virtual Line Professional ","2018-06-17","250.0","THB","1"
"Drivehub Co.,Ltd.","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","1"
"Direct Asia","SKU_CHANGE","Virtual Line Business Ultimate - 7 Thailand - Bangkok","2018-05-19","0.0","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"Coins Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Chiang Mai I.V.F. Polyclinic","EXTEND","BizPhone Standard ","2018-05-18","300.0","THB","1"
"Natural Health Food","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Chameleon Strategies Co,.Ltd","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Built Land","REACTIVATE","BizPhone Standard ","2018-04-21","2032.2581","THB","1"
"LH Bank","TERMINATE","Call Tracking Standard ","2018-04-01","-100.0","THB","1"
"Tomato Ideas Co Ltd","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Direct Asia","REACTIVATE","Call Recording Standard ","2018-04-19","283.871","THB","2"
"Pizza Mania Co.,LTD.","EXTEND","BizPhone Standard ","2018-06-08","754.8387","THB","1"
"Zipevent Co., Ltd.","EXTEND","Virtual Line Business ","2018-05-01","500.0","THB","1"
"Mediakeys","EXTEND","Virtual Line Professional ","2018-06-16","250.0","THB","1"
"LH Bank","TERMINATE","Call Recording Standard ","2018-04-01","-1200.0","THB","2"
"Ocean Property Company Limited","EXTEND","Call Tracking Standard ","2018-05-01","1000.0","THB","1"
"Global Blue (Thailand)","EXTEND","BizPhone Standard ","2018-06-01","100.0","THB","1"
"CB Lockers","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"H.B. Group International Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Nice Loop","EXTEND","Virtual Line Professional ","2018-05-17","250.0","THB","1"
"Alliance Group (Regency)","EXTEND","Call Recording Standard ","2018-05-05","373.3333","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Coins Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Pizza Mania Co.,LTD.","EXTEND","Virtual Line Business ","2018-06-08","629.0323","THB","1"
"Ocean Property Company Limited","EXTEND","Call Recording Standard ","2018-05-01","1000.0","THB","1"
"Trial account - O shopping","REACTIVATE","Virtual Line Professional ","2018-06-16","379.0323","THB","1"
"Indigo International Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-16","375.0","THB","1"
"Scott Berry & Associate Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Direct Asia","SKU_CHANGE","Call Tracking Standard - 7 Tracked Number","2018-05-19","293.5484","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","3"
"Direct Asia","SKU_CHANGE","Virtual Line Business - 1 Thailand - Bangkok","2018-04-24","0.0","THB","5"
"WSMART","EXTEND","BizPhone Standard ","2018-05-26","466.6667","THB","1"
"Asianwise Consulting & Solutions","EXTEND","BizPhone Standard ","2018-05-13","320.0","THB","1"
"Khun Santosh","EXTEND","Virtual Line Professional ","2018-06-17","250.0","THB","1"
"CB Lockers","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Trial account - O shopping","REACTIVATE","BizPhone Standard ","2018-06-16","454.8387","THB","1"
"Mega We Care","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"Cloudee-Live","RENEW","BizPhone Standard ","2018-05-01","300.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Tracking Standard ","2018-06-25","612.9032","THB","1"
"Drivehub Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","400.0","THB","1"
"Alliance Group (Regency)","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Lanna Softworks Co.,Ltd","EXTEND","Virtual Line Business ","2018-05-01","500.0","THB","1"
"Chameleon Strategies Co,.Ltd","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
